,timestamp,open,high,low,close,volume
0,09-10-2019,597.1,612.65,581.5,608.0,4126707
1,10-10-2019,604.9,615.7,597.15,603.65,2962369
2,11-10-2019,607.0,610.8,588.9,598.0,2296747
3,14-10-2019,600.0,619.0,596.65,612.65,2808981
4,15-10-2019,610.5,634.85,609.1,630.15,4512846
5,16-10-2019,635.0,639.75,622.1,629.6,4057543
6,17-10-2019,627.1,648.85,625.0,646.55,3154940
7,18-10-2019,648.0,655.6,643.7,650.6,2609263
8,22-10-2019,645.15,660.4,643.05,645.15,1874086
9,23-10-2019,645.15,659.65,636.0,655.5,2103879
10,24-10-2019,655.1,667.3,642.55,649.1,2388592
11,25-10-2019,645.0,651.0,631.2,640.0,1995407
12,27-10-2019,640.5,647.7,640.05,641.35,204562
13,29-10-2019,644.0,674.6,640.6,667.7,2765790
14,30-10-2019,670.0,672.65,657.3,666.05,2001190
15,31-10-2019,666.9,668.95,650.0,659.35,1989503
16,01-11-2019,660.0,678.5,655.0,657.55,3266867
17,04-11-2019,650.0,657.75,638.75,648.6,2481003
18,05-11-2019,651.75,665.8,646.5,652.55,2796804
19,06-11-2019,657.8,662.45,651.0,655.45,1215811
20,07-11-2019,657.0,659.25,643.4,647.9,1223367
21,08-11-2019,646.0,665.95,642.05,653.75,2272682
22,11-11-2019,653.0,673.8,646.7,671.55,2150609
23,13-11-2019,672.0,673.95,649.5,651.8,1566431
24,14-11-2019,656.0,656.95,643.1,651.9,1579736
25,15-11-2019,657.0,668.75,653.4,658.3,1540010
26,18-11-2019,651.0,665.5,651.0,659.65,1061773
27,19-11-2019,659.65,669.9,655.0,662.45,1478836
28,20-11-2019,663.5,687.8,660.0,670.6,3712448
29,21-11-2019,672.0,676.3,650.1,652.25,1334686
30,22-11-2019,651.8,652.0,639.2,648.0,1585264
31,25-11-2019,648.0,662.35,648.0,658.9,1280262
32,26-11-2019,662.0,671.0,648.0,649.75,1745011
33,27-11-2019,650.6,660.9,643.75,647.9,1528229
34,28-11-2019,646.05,648.75,636.75,644.45,1428911
35,29-11-2019,644.5,652.6,631.0,637.2,1577102
36,02-12-2019,641.35,666.4,639.0,662.5,3671314
37,03-12-2019,658.25,662.9,618.7,623.0,3666915
38,04-12-2019,623.95,630.65,608.0,611.25,4544684
39,05-12-2019,614.3,626.0,613.1,618.7,2470825
40,06-12-2019,621.8,623.25,600.45,603.3,1691015
41,09-12-2019,605.0,612.4,596.1,597.6,1842220
42,10-12-2019,601.0,603.55,587.65,591.45,1453472
43,11-12-2019,592.0,598.0,585.5,595.85,1491009
44,12-12-2019,601.0,603.0,592.05,598.3,1485371
45,13-12-2019,600.0,619.2,600.0,617.05,2856071
46,16-12-2019,617.05,622.0,610.15,612.9,1410143
47,17-12-2019,616.0,624.4,613.55,615.75,1601456
48,18-12-2019,616.9,617.95,607.2,611.4,1257704
49,19-12-2019,610.0,625.95,601.65,622.65,3705578
50,20-12-2019,625.5,633.85,622.35,625.7,2922818
51,23-12-2019,623.75,631.6,622.05,624.9,1042745
52,24-12-2019,626.9,627.95,618.2,620.3,1048855
53,26-12-2019,618.7,624.75,614.4,617.05,1107648
54,27-12-2019,619.2,629.4,616.05,623.45,1303887
55,30-12-2019,622.05,636.3,622.05,631.3,2113071
56,31-12-2019,633.0,636.0,628.4,629.6,1073628
57,01-01-2020,630.0,634.4,603.05,606.2,4151641
58,02-01-2020,606.2,620.7,604.55,618.9,2294478
59,03-01-2020,618.0,625.0,612.25,620.85,1663980
60,06-01-2020,618.0,618.0,602.0,607.3,1480159
61,07-01-2020,612.3,622.7,610.15,612.1,1477019
62,08-01-2020,607.75,615.0,601.3,613.2,1410819
63,09-01-2020,618.0,645.4,617.3,643.05,3176353
64,10-01-2020,645.8,652.75,639.15,646.85,2338949
65,13-01-2020,648.9,660.0,646.5,652.85,1654638
66,14-01-2020,653.0,675.5,650.0,673.0,2444903
67,15-01-2020,672.95,679.45,665.4,678.05,2003755
68,16-01-2020,678.05,698.5,675.35,693.85,2903400
69,17-01-2020,693.8,708.0,690.0,705.8,2465250
70,20-01-2020,707.0,716.9,697.2,713.1,2185442
71,21-01-2020,710.0,712.5,701.3,704.0,1297448
72,22-01-2020,707.05,714.15,700.65,704.1,1511919
73,23-01-2020,704.0,716.9,700.15,712.7,1429046
74,24-01-2020,715.85,728.8,710.25,723.6,3229205
75,27-01-2020,718.0,741.6,715.0,734.25,1985363
76,28-01-2020,732.8,744.85,720.1,727.7,1866552
77,29-01-2020,731.0,755.0,724.2,748.0,5632563
78,30-01-2020,760.0,835.5,758.1,818.35,17118805
79,31-01-2020,801.0,817.95,794.45,803.65,7011082
80,01-02-2020,798.95,817.55,768.5,773.8,3387796
81,03-02-2020,775.2,852.8,764.75,847.15,9868159
82,04-02-2020,846.15,860.0,830.7,846.7,5474373
83,05-02-2020,843.0,865.8,838.55,855.3,3123728
84,06-02-2020,857.0,865.0,846.2,856.35,2324767
85,07-02-2020,855.0,874.25,843.1,867.9,3226182
86,10-02-2020,866.0,878.5,861.55,870.5,2523978
87,11-02-2020,875.1,882.5,862.8,865.8,2061948
88,12-02-2020,867.5,880.9,862.35,878.8,1866659
89,13-02-2020,887.55,894.5,873.55,888.55,3892194
90,14-02-2020,887.2,892.0,879.6,883.05,1701432
91,17-02-2020,884.0,889.5,871.35,885.65,1663801
92,18-02-2020,884.1,896.2,872.6,888.65,1671898
93,19-02-2020,897.0,914.7,889.05,909.85,2945081
94,20-02-2020,907.95,907.95,838.35,878.3,9012079
95,24-02-2020,869.0,871.75,832.85,836.85,3789594
96,25-02-2020,845.0,849.4,825.6,830.25,2673083
97,26-02-2020,827.3,839.45,818.55,827.85,2403134
98,27-02-2020,825.0,827.3,808.7,817.65,2111101
