,timestamp,open,high,low,close,volume
0,09-10-2019,323.35,338.0,320.35,336.45,14776741
1,10-10-2019,332.9,334.55,328.0,329.95,11507498
2,11-10-2019,335.0,342.45,332.0,339.0,17158849
3,14-10-2019,345.75,352.75,342.95,344.85,16723963
4,15-10-2019,345.05,358.35,338.7,349.2,17972207
5,16-10-2019,353.8,353.8,345.25,347.4,12814302
6,17-10-2019,346.0,361.35,340.35,356.1,16695158
7,18-10-2019,355.95,362.8,351.75,359.6,16568036
8,22-10-2019,357.5,363.8,353.0,354.5,11944283
9,23-10-2019,352.0,358.75,349.25,356.2,9318450
10,24-10-2019,356.05,362.0,353.8,359.9,10973402
11,25-10-2019,356.3,368.95,356.05,362.25,14996692
12,27-10-2019,363.8,365.55,363.1,365.0,1082016
13,29-10-2019,365.55,399.7,365.55,390.2,25155314
14,30-10-2019,389.9,393.7,384.3,388.0,14371442
15,31-10-2019,388.9,390.1,376.2,380.55,21756023
16,01-11-2019,380.05,402.9,378.0,399.5,24111195
17,04-11-2019,403.0,421.7,403.0,409.15,28934434
18,05-11-2019,414.0,417.9,401.6,403.95,20874434
19,06-11-2019,402.0,408.9,398.7,404.45,17935147
20,07-11-2019,404.0,408.85,388.8,403.1,40700760
21,08-11-2019,401.5,406.2,395.1,397.95,21423520
22,11-11-2019,395.5,403.75,394.0,401.45,13573974
23,13-11-2019,400.9,408.85,392.7,397.9,17511469
24,14-11-2019,396.1,398.7,389.4,391.95,10869425
25,15-11-2019,392.0,403.0,390.6,394.5,11813259
26,18-11-2019,396.4,412.6,396.0,410.05,18906528
27,19-11-2019,414.0,414.85,400.0,401.75,14265083
28,20-11-2019,401.0,408.5,397.3,398.7,12255602
29,21-11-2019,399.0,399.15,383.25,385.1,10208554
30,22-11-2019,386.0,402.8,383.1,400.0,17271949
31,25-11-2019,405.25,421.0,403.0,419.5,27612458
32,26-11-2019,425.0,429.3,416.75,424.15,28276312
33,27-11-2019,425.3,427.0,419.2,421.35,10984679
34,28-11-2019,422.2,434.3,422.15,432.1,15766073
35,29-11-2019,427.45,429.5,421.1,427.5,12631956
36,02-12-2019,424.95,426.95,419.0,420.85,8337171
37,03-12-2019,418.0,418.55,396.4,399.65,16870656
38,04-12-2019,392.8,411.45,389.0,409.3,26113249
39,05-12-2019,411.05,411.85,397.1,399.8,11110884
40,06-12-2019,401.45,407.5,393.85,403.25,16931082
41,09-12-2019,403.0,411.8,401.95,406.7,12318452
42,10-12-2019,405.0,409.6,400.2,402.05,9349585
43,11-12-2019,402.4,408.2,400.35,405.55,8227863
44,12-12-2019,408.3,420.9,406.8,418.7,14984671
45,13-12-2019,430.25,434.6,423.45,428.4,21628183
46,16-12-2019,432.0,432.0,420.15,421.0,9565831
47,17-12-2019,423.6,441.9,423.05,439.4,30757738
48,18-12-2019,439.4,454.8,436.05,444.75,40028398
49,19-12-2019,440.0,449.4,438.0,446.75,20547286
50,20-12-2019,446.0,463.4,443.1,461.0,26931262
51,23-12-2019,461.0,467.5,457.05,462.15,18631143
52,24-12-2019,462.2,464.7,459.4,463.0,11235505
53,26-12-2019,463.0,472.0,463.0,467.9,18255603
54,27-12-2019,469.25,471.8,463.2,469.5,11144333
55,30-12-2019,470.1,476.3,465.1,474.75,11462074
56,31-12-2019,472.65,475.3,469.5,472.05,9644145
57,01-01-2020,473.0,476.5,464.8,467.75,12100530
58,02-01-2020,472.0,487.8,472.0,484.85,21674961
59,03-01-2020,483.0,486.2,479.45,483.7,12956863
60,06-01-2020,480.0,480.0,470.55,473.25,9601608
61,07-01-2020,475.5,484.6,473.55,476.1,13195788
62,08-01-2020,471.65,478.15,467.0,475.25,13304841
63,09-01-2020,485.0,486.0,479.1,483.15,10131152
64,10-01-2020,485.5,493.85,480.0,486.2,15927634
65,13-01-2020,491.1,497.0,487.75,495.75,10942750
66,14-01-2020,496.45,506.0,495.75,498.6,15660822
67,15-01-2020,491.9,503.55,489.15,502.1,12117948
68,16-01-2020,502.0,504.05,492.1,494.4,10438369
69,17-01-2020,493.3,498.9,491.9,495.25,5682460
70,20-01-2020,497.0,499.8,489.15,490.65,7291878
71,21-01-2020,487.8,487.8,473.5,476.15,11315803
72,22-01-2020,478.65,479.85,473.2,475.05,7662171
73,23-01-2020,475.9,481.85,473.15,480.25,7200020
74,24-01-2020,480.3,485.1,476.45,483.4,7481130
75,27-01-2020,477.75,477.75,460.1,462.45,12963119
76,28-01-2020,460.0,462.0,442.0,446.25,18015283
77,29-01-2020,452.8,459.7,449.6,452.2,11081834
78,30-01-2020,451.9,454.45,441.4,448.55,14652016
79,31-01-2020,453.0,454.25,436.45,438.7,10738727
80,01-02-2020,431.5,440.0,420.1,423.8,12915212
81,03-02-2020,418.0,439.0,416.6,436.05,16237126
82,04-02-2020,442.0,453.4,433.45,451.9,13336263
83,05-02-2020,452.25,479.7,448.0,475.05,16056765
84,06-02-2020,478.0,487.25,471.6,477.6,16666074
85,07-02-2020,475.7,479.7,468.85,471.0,11649909
86,10-02-2020,460.25,463.25,440.0,443.8,26796048
87,11-02-2020,448.35,457.7,442.7,444.1,16824371
88,12-02-2020,450.0,454.5,442.55,447.95,11785858
89,13-02-2020,448.75,451.7,439.35,441.25,9965221
90,14-02-2020,441.0,445.55,433.35,434.55,9484817
91,17-02-2020,435.5,440.9,433.0,436.85,9724765
92,18-02-2020,434.0,435.15,421.3,431.4,11502423
93,19-02-2020,436.45,438.5,428.15,433.2,8465109
94,20-02-2020,429.0,447.7,428.0,443.55,12980237
95,24-02-2020,434.85,434.85,413.35,415.45,17523142
96,25-02-2020,419.0,425.55,414.4,421.3,14558176
97,26-02-2020,411.3,419.4,411.3,416.3,14270706
98,27-02-2020,414.9,415.9,407.05,412.8,10226379
99,28-02-2020,398.7,398.95,375.0,381.75,24532833
100,02-03-2020,393.7,394.0,358.0,364.05,20220772
101,03-03-2020,373.5,391.0,370.1,387.55,18648933
102,04-03-2020,388.05,389.9,365.1,377.15,22937148
103,05-03-2020,383.95,387.8,374.3,375.75,14628468
104,06-03-2020,356.95,358.3,346.65,351.5,14848188
105,09-03-2020,337.5,337.7,319.75,322.3,20423826
106,11-03-2020,324.0,326.05,296.1,299.75,28693709
107,12-03-2020,275.0,291.8,267.2,287.45,43767763
108,13-03-2020,270.0,332.1,255.35,326.7,33842310
109,16-03-2020,304.0,317.65,287.1,289.6,23606452
110,17-03-2020,300.0,307.65,280.5,282.75,20654603
111,18-03-2020,290.0,293.15,275.7,280.85,18772675
112,19-03-2020,268.95,284.5,260.5,271.85,18723257
113,20-03-2020,279.7,305.0,274.15,297.75,17307882
114,23-03-2020,268.0,278.0,253.55,271.15,12100684
115,24-03-2020,277.05,285.65,258.6,271.9,12928877
116,25-03-2020,267.05,295.0,267.05,286.8,9442834
117,26-03-2020,290.0,295.5,280.1,284.45,11493837
118,27-03-2020,291.0,295.25,274.2,277.25,11184139
119,30-03-2020,267.0,270.75,250.85,254.05,15853761
120,31-03-2020,262.25,272.45,259.7,269.6,15787411
121,01-04-2020,266.0,267.95,258.1,266.35,11965031
122,03-04-2020,267.7,268.9,251.0,253.75,12528030
123,07-04-2020,266.05,277.7,261.2,276.2,15956873
124,08-04-2020,271.0,292.9,266.65,274.75,20435156
125,09-04-2020,280.5,289.6,277.65,284.85,13855788
126,13-04-2020,285.0,292.0,273.85,282.55,15510598
127,15-04-2020,287.4,295.65,281.9,285.15,20991943
128,16-04-2020,276.0,291.9,276.0,288.9,17248806
129,17-04-2020,297.5,299.7,285.5,293.35,17492884
130,20-04-2020,294.8,295.0,285.1,286.4,11961355
131,21-04-2020,280.05,281.0,263.25,265.95,16925417
132,22-04-2020,266.1,269.9,259.2,268.35,14789857
133,23-04-2020,270.0,279.0,269.0,270.3,15468122
134,24-04-2020,266.3,273.85,264.45,267.55,12383846
135,27-04-2020,274.0,276.9,270.5,271.65,12410812
136,28-04-2020,273.9,275.4,269.55,273.55,8548134
137,29-04-2020,273.0,286.15,271.25,282.65,19876696
138,30-04-2020,289.95,304.5,288.7,298.3,23636082
139,04-05-2020,285.0,286.15,270.1,273.6,12892158
140,05-05-2020,279.0,282.4,271.0,272.65,12182355
141,06-05-2020,274.1,280.45,272.05,277.75,9507731
142,07-05-2020,275.45,282.85,274.65,275.85,8958411
143,08-05-2020,282.8,284.0,272.0,272.9,9878213
144,11-05-2020,275.55,283.0,275.0,276.2,10907408
145,12-05-2020,273.3,276.8,264.5,273.95,15040334
146,13-05-2020,287.5,288.0,273.5,276.55,14723748
147,14-05-2020,272.0,275.2,267.3,268.55,10796959
148,15-05-2020,270.0,276.8,268.8,273.45,14991458
149,18-05-2020,274.1,276.2,262.45,266.6,11616080
150,19-05-2020,271.95,280.4,267.5,272.0,16897173
151,20-05-2020,272.0,284.0,270.1,283.2,14423657
152,21-05-2020,283.9,286.25,278.5,283.7,13035881
153,22-05-2020,279.0,280.25,273.3,274.45,10656911
154,26-05-2020,277.5,284.4,277.0,280.45,12108740
155,27-05-2020,282.2,290.4,279.05,287.95,14007562
156,28-05-2020,291.9,298.6,289.4,295.5,16602462
157,29-05-2020,292.1,296.9,287.85,295.2,13128027
158,01-06-2020,302.0,317.8,302.0,315.2,24384633
159,02-06-2020,318.0,323.45,314.55,319.4,16563267
160,03-06-2020,325.45,326.3,315.05,317.4,10387136
161,04-06-2020,316.9,322.6,314.6,319.95,11251331
162,05-06-2020,325.8,343.65,325.05,338.95,30918495
163,08-06-2020,347.7,350.8,327.35,333.6,16481809
164,09-06-2020,336.0,344.0,328.85,332.2,14926862
165,10-06-2020,331.1,331.5,322.0,324.0,17218893
166,11-06-2020,322.0,323.5,311.0,313.15,13906985
167,12-06-2020,300.0,320.45,300.0,317.6,17558010
168,15-06-2020,313.75,315.0,302.6,306.2,18582927
169,16-06-2020,315.1,322.55,301.3,308.95,23442027
170,17-06-2020,307.2,314.8,305.05,308.2,11447411
171,18-06-2020,308.2,319.2,307.1,318.1,11369278
172,19-06-2020,321.0,325.85,317.3,320.55,15134693
173,22-06-2020,319.75,328.0,318.35,325.7,11031385
174,23-06-2020,327.7,333.5,326.15,332.0,12551154
175,24-06-2020,336.6,338.15,324.75,326.05,20782956
176,25-06-2020,322.0,327.4,321.0,323.1,11345728
177,26-06-2020,325.8,329.95,322.55,323.85,9706335
178,29-06-2020,323.0,326.0,312.1,320.85,11961198
179,30-06-2020,323.1,337.65,323.1,326.7,36523647
180,01-07-2020,329.0,329.6,320.3,323.7,10489533
181,02-07-2020,327.05,337.5,324.55,334.9,11971928
182,03-07-2020,337.0,337.0,327.35,329.9,10612730
183,06-07-2020,333.15,341.7,330.3,338.9,14144208
184,07-07-2020,338.8,338.85,328.05,330.3,10839521
185,08-07-2020,332.8,346.4,332.0,334.2,21561168
186,09-07-2020,337.0,348.5,336.5,344.5,24403806
187,10-07-2020,341.95,344.3,335.2,338.7,12526909
188,13-07-2020,343.3,347.0,338.5,342.1,12115002
189,14-07-2020,339.0,339.0,332.6,336.65,8307089
190,15-07-2020,340.65,346.5,338.0,339.3,9687663
191,16-07-2020,338.0,346.5,331.55,341.65,10586106
192,17-07-2020,346.0,356.8,345.15,350.95,24416975
193,20-07-2020,351.1,354.7,346.6,352.4,9532817
194,21-07-2020,356.0,360.6,349.5,359.15,11368275
195,22-07-2020,360.5,362.9,346.6,350.05,17844237
196,23-07-2020,350.1,356.4,347.65,351.9,9625277
197,24-07-2020,347.0,349.8,342.55,346.1,8918940
198,27-07-2020,351.0,353.9,344.25,352.85,11835628
199,28-07-2020,353.6,360.0,352.75,358.5,10640327
200,29-07-2020,359.0,378.45,356.15,373.75,30116131
201,30-07-2020,377.0,377.8,364.1,366.6,10399075
202,31-07-2020,365.6,370.4,360.4,366.3,9024955
203,03-08-2020,364.75,376.85,362.05,373.5,11137571
204,04-08-2020,374.5,378.0,367.65,372.25,11184430
205,05-08-2020,373.05,397.9,373.05,395.8,30559760
206,06-08-2020,389.75,402.8,385.5,400.45,22123358
207,07-08-2020,395.9,406.7,393.1,404.05,15176343
208,10-08-2020,405.75,411.55,399.6,410.2,12018305
209,11-08-2020,413.1,427.6,412.5,416.45,25885192
210,12-08-2020,413.7,417.35,407.55,414.5,11574692
211,13-08-2020,418.2,421.7,408.85,413.1,12422203
212,14-08-2020,410.0,430.95,409.1,418.5,47742372
213,17-08-2020,418.0,429.15,414.25,425.05,18145953
214,18-08-2020,421.65,436.8,419.7,434.5,17342261
215,19-08-2020,434.5,435.55,428.85,431.7,11843731
216,20-08-2020,425.0,438.3,423.05,432.6,15846609
217,21-08-2020,435.75,442.0,426.55,428.85,13482327
218,24-08-2020,433.6,437.75,428.1,429.5,9093889
219,25-08-2020,432.0,432.65,421.45,424.0,10554484
220,26-08-2020,425.0,427.75,422.2,425.0,7957164
221,27-08-2020,425.5,430.2,423.0,426.85,9549716
222,28-08-2020,429.65,438.0,423.05,424.2,15212017
223,31-08-2020,426.5,430.15,410.0,413.0,15746139
224,01-09-2020,413.9,432.7,411.95,428.65,14072848
225,02-09-2020,430.05,441.7,427.1,438.65,11739341
226,03-09-2020,442.5,443.65,435.9,438.1,10214289
227,04-09-2020,428.1,433.95,419.0,421.3,10530674
228,07-09-2020,423.7,428.4,418.45,422.5,9628406
229,08-09-2020,425.75,425.75,402.6,405.1,11637370
230,09-09-2020,398.8,420.15,386.5,417.4,31999875
231,10-09-2020,424.0,425.9,401.1,408.0,22920783
232,11-09-2020,408.75,412.65,402.5,407.5,13687127
233,14-09-2020,410.0,414.1,402.15,404.65,12331121
234,15-09-2020,407.0,410.55,403.55,405.25,9132749
235,16-09-2020,406.45,410.0,402.7,404.6,9987412
236,17-09-2020,401.95,407.5,393.2,398.7,14808022
237,18-09-2020,402.1,405.65,393.4,395.5,16842244
238,21-09-2020,396.0,399.2,371.0,373.4,14138761
239,22-09-2020,374.0,378.5,358.2,374.15,22013027
240,23-09-2020,377.0,378.0,356.45,361.3,16984600
241,24-09-2020,356.8,357.25,342.75,343.9,12495840
242,25-09-2020,348.0,355.6,344.2,352.1,12242576
243,28-09-2020,359.95,364.95,355.65,361.0,12270478
244,29-09-2020,365.0,371.8,361.7,370.05,17891719
245,30-09-2020,371.05,371.5,358.0,359.75,12963784
246,01-10-2020,364.3,370.3,363.15,364.95,9555123
247,05-10-2020,370.1,385.5,369.5,382.3,19590635
248,06-10-2020,386.8,387.25,373.1,377.4,14286376
